,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
1367,不限 ,,综合管理,不限,学士,本科,421,1,静安区,不限,不限,共和新路街道,2011368,社区平安办公室一级科员,从事社区内公共安全管理和社会治安综合治理等平安建设工作。,具有较强的组织协调和语言文字表达能力。,具有社区工作经验者优先；中共党员优先。 ,False,0,False,0,1
1368,不限 ,不限 ,综合管理,不限,学士,本科及以上,422,1,静安区,不限,中共党员或共青团员,临汾路街道,2011369,社区平安办公室一级科员,从事社区综合治理工作，负责维护治安稳定，受理来信来访，化解矛盾纠纷，处理突发事件等。,具有较强的组织协调能力，吃苦耐劳，身体素质及心理素质好，能适应突发事件及日常加班、值班。,,False,0,False,0,1
1369,,"政治学类,新闻传播学类 ",综合管理,不限,硕士,硕士研究生及以上,423,1,宝山区,不限,中共党员,区委办,2011370,区委督查室一级科员,从事工作督查督办、信息编发、文稿起草等相关工作。,获得国家奖学金、省部级奖学金、校级二等及以上奖学金，或获得优秀毕业生、优秀学生干部等荣誉称号者优先。,,False,0,False,0,1
1370,,法学类 ,政法,不限,硕士,硕士研究生,424,2,宝山区,不限,中共党员,区纪监委,2011371,审查调查室一级科员,负责职务违法、职务犯罪等案件的初步核实、审查调查以及案后治理等工作。,具有法律职业资格证书。,,False,0,False,0,2
1371,,"中国语言文学类,新闻传播学类 ",综合管理,不限,硕士,硕士研究生,425,1,宝山区,不限,中共党员,区纪监委,2011372,宣传部一级科员,负责机关新闻事务和全区纪检监察新闻信息综合处理等工作。,具有法学类本科及以上学历者优先。,,False,0,False,0,1
1372,"工学,法学,文学  ","工学,法学,文学 ",综合管理,不限,学士,本科及以上,426,1,宝山区,不限,不限,区发改委,2011373,社会发展科一级科员,负责编制政府投资计划、协调推进重点项目建设、协调电力建设等工作。,无,,False,0,False,0,1
1373,"工程管理,生物科学,人力资源管理  ","农学,农业经济管理,企业管理 ",综合管理,不限,学士,本科及以上,427,1,宝山区,不限,不限,区农委,2011374,农村改革与发展科一级科员,负责拟订农村经济社会发展相关政策并组织实施、推进农村集体产权制度改革等工作。,无,,False,0,False,0,1
1374,"法学,文学,管理学  ","法学,文学,管理学 ",综合管理,不限,学士,本科及以上,428,1,宝山区,不限,不限,区文旅局,2011375,公共文化科一级科员,负责公共文化服务工作和活动的协调与联络及其等相关工作。,无,,False,0,False,0,1
1375,"经济学,管理学,艺术学  ","经济学,管理学,艺术学类 ",综合管理,不限,学士,本科及以上,429,1,宝山区,不限,不限,区文旅局,2011376,文创产业科一级科员,负责文创产业政策执行、数据统计分析、企业及园区服务及其他相关工作。,具有相关工作经历者优先。,,False,0,False,0,1
1376,"旅游管理,旅游管理与服务教育,会展经济与管理  ",,综合管理,不限,学士,本科,430,1,宝山区,不限,不限,区文旅局,2011377,旅游发展科一级科员,负责完成全区旅游行业的相关管理，撰写科室的工作计划、总结等相关文字材料等相关工作。,无,,False,0,False,0,1
